subject,content
Accrued 06/16,Here is a breakdown by day of all of the counterparties.
RESUME - Dart Arnaez,"INTERNAL CANDIDATE response to job #104210. I have not talked to him."
RESUME - Robert Goerner,Following is the resume of Robert Goerner. He is currently at Reliant doing pipeline accounting. His salary is at $52K. he was referred by Karen Lindley.
Re: Review of new Enron Internet Site,Will is unable to attend Tuesday Morning and I am having trouble getting the video conference room. I will get back with you when I can reschedule.
Re: GAME AT 6:00,I will be there.
Re: 98-6725 (Sitara deal 266149),done
Re: Hoop it up,281.343.8233
Hoop it up,I need a number where you can be reached on Friday evening. I will be getting the schedule after work on Friday and will call and let you know when and where our games will be. D
New Entex deal,"Tom Engel (Sitara) has moved the big Entex ticket (#117413) for July 2000 forward to deal #292249. This should help some with amount of time it takes to update and bridge back this deal. He is adjusting the swap tickets also. You should probably double check these to make sure everything looks ok. The programmers are also trying to find ways to further decrease the time involved in updating the deal. D"
Devon,I understand you guys want to talk to me about Devon.....hmmmmmmmmm. How about tomorrow Thursday the 8th after 3 sometime? THANKS
schedule,Here is our schedule. I need the 10 bucks from those of you who haven't paid yet. Do you want to try to get together this weekend and get some practice in? Let me know of your availability. Bryan
Bennington/Lamar Power UA4 data,Call me with any questions. Gary H
June's update,Here is the lastest and greatest.
Re: Job Posting,The position reports to me and is budgeted. D
CES volumes on Tejas,June volumes on Tejas are attached.
CES volumes on Tejas,June volumes on Tejas are attached.
HPL xport TA99-027 for 4/00 Prod.,Loraine sent an allocation for fuel that is not scheduled. Her schedule has fuel on days where there was no flow: Day fuel 5 40 8 15 9 14 Can you let me know if we need to book fuel on this contract and what needs to be done on days where we have no flow? We called Loraine and she told us to contact you since you are aware of this. Thanks
June Vacation,Please submit your June Vacation to me ASAP. Thank You! Yvette x3.5953
Re: 1st priority please,HPL is ok. D
Reviewers,Janet Wallis Kyle Lilly Howard Camp Carlos Rodriguez Thu Nguyen Joan Quick (for CES) Bob Superty (CES) Ed Gottlob Bryan Hull
Entex Adjustments for 5/00,I have reviewed the Entex actuals and adjusted Gas Control's Entex factor for the month of May. I have found that Entex estimates have been overstated by approximately 10.0 Mmcf/Day. Romeo: Will you make sure the estimates that are in POPs are corrected to reflect the new volumes. This should help reduce some of the UA4 that Daren and Pat are trying to locate. The attached file has the changes that need to be made. Please let everyone on this mailing list know once the changes have been made. If you have any questions please call me at 36449. Thanks Gary H
Re: 98-6725 (Extension of deal 244700 for 5/1/200),Schedule the volume under the gathering k. D
Re: Meter 5192,Is this in index related price?
well head,Shoreline wants to increase the volume at meter 9830 for the 10th gas day. This is a new meter so there is not much history to it. They want to go from 535 to 750. last month it flowed in the upper 500's but it didn't come on till the 21st of the month.
Re: Holiday Cards,Put us down for 50.
Unify,Please provide Bob Superty with a list of pipelines whom were late or had nomiation issues as a result of this mornings Unify problems.
wellhead,Encina has some tru ups. Meter Vance New March AVG. 4353 54 53 5631 40 35 5625 20 25 6832 225 276 270 TO 280 9731 325 290 300 TO 308 9720 6750 6500 6030 TO 6895
(no subject),Hey Daren its me. Have you had any sleep lately???? See ya at the beach.
Re: Well head for May,That's fine
Entex Revised Estimates for 4/00,The attached spreadsheet has the revised estimates for Entex citygate loads for April. If you need me to get with POPs/Unify to correct or change the estimates please give me a call. Thanks Gary
Holiday Invitation,Please click on the attached link to launch your Holiday Party invitation. http://invitation.enron.com Please direct any questions to Dorie Hitchcock via email.
Shell Houston Open,First Come First serve: I have: 10 Shell Houston open badges available. (Let's try to share these as best we can.) 10 One Day Passes 2 Invitations to Tonights Mardi Gras Party 4 Tickets to this Saturday's Beauty n Blues concert. This might be a good time to remind you that this week is Secretary's week (since I am holding all the goodies) Just joking Brenda. Yvette x3.5953
Calpine May,Total Nom Apr 81 Mar 79 Feb 85 Average of 3: 82 Does this average represent a good estimate of the Calpine May nom? Ami
Entex - May,I would assume 40000 for Midcon.
CP&L data,act_flow is from our system. CP&L flow is from CP&L. All volumes are in MMcf.
Texaco 989826,Bill Moore called this morning and said he sent in a nomination change for the 15th on for meter 989826. He would like to go from 1100 to 1250. The daily meter volumes are ranging for the month from 1164 to 1334 Bill feels the 1250 will be the avg. Let me know what you think Daren. thanks.
Re: WELLHEAD,Leave the nom as it is in Sitara.
On Call Notes for Weekend; April 7th thru April 9th,Attached are the notes for Weekend dated April 7th thru April 9th on the Texas Desk.
WELLHEAD,Shoreline has sent a revision to trim down the 6722 meter from 570 to 428. Daren I can't tell you what it flowed last month due to more than one person is at that meter. We only have 30 nominated there now. Let me know what you think. Thanks.
Re: Producer Connects on the 215 Contract - April,Thanks for the info Heidi. It's always good to have a second pair of eyes with all these wells. I have done some research and all but one are HPLC deals and were not putting those on the gathering contract. I'll run this by Daren and make the changes if needed. Please let me know if you see anything else it just takes a minute to check on it.
Re: 98-9794 (Saxet),That's a fair question and I'll need to talk with daren on that I'll get back to you ASAP.
Updated Buyback Worksheet,Please see the attached. The undertake for Air Products 122218 has been replaced. Julie
HPL Liquids/Exxon,Deal numbers: HPL Liquids: 201952 Exxon Mobil: 226713
NEW UPDATE FOR BUYBACKS,There are two additions. AirProducts and Petrofina.
Re: Last chance: Save $100 on a future airline ticket,unsubscribe
HPLC TO WELLHEAD,"Daren here is the list of deals that need to move to the wellhead portfolio from the HPLC and are in Vances spread sheet. some of these may have already been moved. EEX Corporation # 229609 meter 5999 EEX Corporation # 229586 meter 6500 EEX E&PCompany # 166817 meter 9721 Encina GasPipeline # 133291 meter 5631 Encina Gas Pipeline # 133344 meter 6181 Hurd Enterprises # 133342 meter 5427 Samson LoneStar # 126270 meter 6722 Shoreline # 136225 meter 9743 Welhausen Operating # 134987 meter 9717"
UPDATES FOR APRIL,Here is the updated version
MEOH UPSET,The earliest time production of MeOH may begin is now Sunday evening.
MTBE UPSET,The MTBE plant had an upset early today and a steam boiler is being taken out of service. Production will be cut back to approximately 8 MBD to 9 MBD for four to five days.
April Vacation,Please submit your scheduled April Vacation to me by the end of Monday afternoon. Thank you! Yvette
Storage Deal 47472 and 60747,Julie: There are two Storage deals that are using the same contract number. Can you look at the two deals and determine which one is the correct deal? Do we need to kill or cut off the other deal? Let me know when you get back in the office and look at it. Karie (36759) Deal Contract 47472 96016959 60747 96046959
Re:,got it
Re: Midcoast Marketing,The deals are in and the ticket numbers are Jan. 214249 and Feb. 214251.
Re: Leadership Curriculum Rollout,I would like to receive the guide. My location is 3138c. Daren
Base Gas Roll Meeting,Can everyone meet at 3:30 today? Please let me know. Daren
Re: FIRST DELIVERY - TEXACO E & P,"I have the spot ticket in with deal #211573."
Re: 3-rivers / King Ranch / HPLR Liquids,I have identified the additional HPLC wellhead purchases and have made corrections to the interconnect tickets accordingly. Jackie is still having difficulty identifying all the wellhead purchase. We feel there are at least 6 meters flowing a total of appox. 7000 a day that are not showing up on a HPLC purchase or a HPLR transport. I believe she has given you this information and will await instructions or for the purchases to be input reflecting the proper Enron Entity purchasing these volumes. We have worked very hard on this issue and I apologize that it has not yet been entirely corrected.
New Pooling Points,The two new pooling points are as follows: 1). Aqua Dulce Pool = 987349 2): Corpus Christi Pool = 987350
Holiday Schedule 2001,Please click on the URL below for Enron's 2001 Holiday Schedule.
Meeting,Please plan to attend a meeting with Brian to discuss the Panola Rusk deal on Monday at 11:30. We'll meet on the 35th floor and Brian will direct us to a conference room. The meeting should last about 30 minutes.
FEBRUARY UPDATES,Sorry so late.
HL&P Month to Date Flow,Janet. I'm back from vacation! I have updated the flow volumes for HL&P
Memo from Steve Schneider,Please review the attached memo from Steve Schneider:
Conference room,I have booked 3125A for you tommorrow from 1:30 to 2:30 pm. There is not one available from 1:00 to 2:00. Ina
Midtex,Please plan on meeting at 1pm on Thursday to continue discussions on the Midtex line. I will let you know the location when it becomes finalized. D
"Re: Union Gas - Doehrman #1","The new Sitara ticket # is 165331"
Re: EOL Location for Carey Metz,Carey told me that he has already talked to Jennifer. He should be able to give you any information you need. Daren
HL&P Flow Month to date,Attached are the month to date flow volumes.
UPDATED LIST,Valero deals have now been added. Please make sure that this list is forward to anyone in your groups that might need it. Julie
Y2K PBAs,The Y2K PBAs will be available for distribution on February 15th.
Internal Pool Meeting,Heather can you set up a meeting in my office to discuss the transition from internal pools to service contract pools. Scotty attendees R. Gay K. Kelly G. Smith E. Terry D. Farmer P. Klyne or sub if they cannot attend
HL&P January 2000,Attached are the January numbers.
Re: meter 1424,I rolled the deal for Jan and Feb. D
CES - Duke En Field Services,"The purchase and sale is at Felmont #1 (point sale). We will be terminating the agreement. Feb should be the last month."
Today's Staff Meeting with Brenda Herod,Today's staff meeting has been cancelled. We will resume next Tuesday at the next regularly scheduled time. If you have any questions or concerns that NEED to be addressed with Brenda this week please leaver her a voicemail. In the interim please provide me with access to your calendars. it is up to your discretion if you would like me to have reviewer or editor rights. Thank You! Yvette x3.5953
1/00 Allocations,Attached is the allocation for 1/00 for Texas Operations. Let me know if you have any questions.
Re: Rescheduling of Usecase Analysis for ENOM Mtg.,I am not available at that time. I have 2 meetings already scheduled for that time/day. Daren
HL&P,The most recent numbers
Re: Meter 1595 - 12/99,"New deals: Nov #151202 Dec #151203"
HL&P flow,Here are the most recent numbers.
This afternoon . . .,Please make yourself available this afternoon as Brenda will be calling on each of you individually to work on the bonus calculations. If you have any questions or concerns please call. Note: Please leave this afternoon's staff meeting on your calendars just in case. Thanx! Yvette
hl&p,Attached are the most recent numbers.
"Re: Bridge Back Error - Sitara deal# 118977 Nov 99",I have asked Robert Lloyd to look into this. He handles our Industrial noms now. D
Re: Occidental Battleground Meter 98-1485 October 2000,Thank you
HL&P Month to Date,Attached is the HL&P spreadsheet for January.
January - Meter 2186 clear lake city gate,I have flow without a nom each day at Meter 2186 1st = 1375 2nd = 28 3rd = 2532 4th = 5952 I assume that this is entex meter. Is this volume captured at Meter 2000? I will need a nom to support this flow. Please advise. Thank you.
Bridge back error,Meter 980068 has a bridge back error for 9/99 production. This meter is linked to deal 76365 which started on 4/16/99 and ended on 4/30/99. Please let me know what deal should be use for this meter for 9/99. I need to have this error clear off by Thursday. Thanks.
Buyback Deals -- January 2000,Attached are the current buyback deals I'm aware of. If you have further information please let me know. Thanks Ken
HL&P December,Janet. Attached is the best available for December. I have split 3rd party noms and HPL noms. I'll be working on January today and forward it to you soon.
HL&P flow,Janet. Attached are the most recent numbers.
Unify down - Unix team working on it,The Unix server that Unify Production runs on (Proton) went down this morning. The Unix team is working on it. I will let you know as soon as Unify is available. d.n.
Re: Thursday lunch training,You can charge it to mine. D
Gathering Meters Adjustments,Please refer to the attached spreadsheet. The gathering meters nominations have been adjusted to the volumes in the Avg column effective 4/9/01. Bob
FIRST DELIVERIES - COMSTOCK OIL & GAS AND UNITED OIL & MINERAL,See attached files
Spot purchases - 04/01,"The following deals have been entered today as wellhead purchases: Deal # Meter # Counterparty Tr Zn Nom Price 712357 2630 Swift Energy 18 21/d 100% IFHSC less $1.38 712358 9603 Vintage Gas 8 100/d 84% IFHSC Bob"
FIRST DELIVERIES - COMSTOCK OIL & GAS AND HESCO GATHERING COMPANY,See attached letters
FINAL FINAL VERSION,I have added Shell and deleted South Hampton.
FINAL VERSION,Rohm & Haas has been added and the sale for Union Carbide for April has been added.
UA4,I put a file in your folder. Hope it helps with the UA4. Dave
AEP-HPL transition issues,Attached is a updated memo about transition issues. This is not a all inclusive memo but a starting point. Please sent comments to me and I will update and redistribute. thanks bob
Eastrans Nomination change effective 3/29/01,Please decrease deliveries to Eastrans to 0 MMBtu/dy effective 3/29/01 and maintain at 0 until further notified. The redeliveries will be 0 as well. Fuels Cotton Valley gas will be valued per Paragraph 3 of the Contract Price (per MMBtu) section in the Transaction Agreement.
AEP Transition Items,Attached is a brief memo outline some of the transtion issues with HPL to AEP This is the first draft. The itilized items currently require some more action. Please add any items and forward back to me. I will update thanks bob
CES Changes,Gulf Energy Pipeline Tejas plant from 81 to 52 Trevino Plant from 4890 to 1361 Comiats South from 403 to 28 Gulf Plains From 10939 to 7876 Corpus Christie Virginia From 379 to 165 Midcon Greta Tom Oconner from 2243 to 1392
Re: Boat,I believe the boat is 18 to 19 ft long and I do have a boat cover. I will bring the boat information with me tomorrow for anymore questions. I recently took it to the shop to get it ready for this season and the salesman said it looked brand new. It has a brand new battery and everything runs perfectly. Call me if you want to take a look at it. Briant 66459
Boat,What's the length of your boat? Does it have a cover? D
Deal 338634 Meter 985077,The above deal was in the system for 7/1/00 to 12/31/00. We have had continued flow on the following dates... 1/4/01 to 1/8/01 1/29/01 2/7/01 to 2/28/01 The total flow has been 2804. Can this deal be extended to cover the January and February flow?
FIRST DELIVERY - RODESSA OPERATING CO.,See attached letter
Wellhead Nominations,Wellhead volumes have been adjusted to the Avg column on the attached spreadsheet as of 3/8/01 forward. Bob
UPDATED FOR MARCH,I have added a swing on Mobil Oil and moved the Sale number over to the Swing column for Equistar.
Tv,What are the details on the tv? How old? Problems? Condition? etc. Daren
meter 6884,Volume management was wondering if deals 137870 and 235670 needed to be extended into 2001. These are deals with Teco. Let me know if you need me to extend them.
FIRST DELIVERY - WHEELER OPERATING,Please see attached letter
Pioneer Natural,Daren do you have a problem if I copy the 2000 deal (362125) for Pioneer and make a new one for 2001. They have flow in Jan. This is giving me a meter allocation exception forJan. Let me know thanks.
CORRECTION ON FIRST DELIVERY FOR CODY,It should read Cuba Libre Field and Cuba Libre Central Point. EB
FIRST DELIVERY - CODY,See attached letter EB
meter 986315,For Dec. and Jan. production there are flow volumes without a deal. Deal 502952 was good for November. Do you want to extend this deal or should there be another counterparty added? Thanks.
Invitation - Sitara Reporting mtg in 2556 (8 Feb 02:00 PM CST),Discuss new reporting requirements
Reminder-Logistics-Happy Hour,IN CELEBRATION OF EVERYONE'S HARD WORK AND DEDICATION. CONGRATULATIONS ON YOUR PROMOTIONS!!!!! WELCOME ALL NEW HIRES!!!!!!! AND GOOD LUCK TO THOSE LEAVING US.
Good news for you,Grab me when you get a minute. I have your bonus and merit info. You're going to like it. D
Holiday Party - Save the Date,Please click on the link below SAVE THE DATE
Deal 70422,Should we keep rolling this deal?
reviews,Heather will be calling each of up to set up a time to discuss your review for 2000. Please bring with you two items that you plan on working on during the first six months of 2001. These should be items that improve the process around your area or brings additional income to Enron. thanks bob
Meter 986679; the Hughes C/P,I have flow at the meter everyday without a deal in Dec. It is on the UA4 and needs a ticket. Bob phoned Vance and Vance does not know of any activity of theirs at the meter. Any insight? Mary
Enron Net Works - T&E Policy,Please review the attached T&E Policy for Enron Net Works.
"October flow at meter 982694 Zavisch #2",I have measurement actuals for the first 14 days at this meter with no deal in the system. This is wellhead production. Please advise. Mary
PanEnergy Swap,The PanEnergy spreadsheet is attached. D
Tenaska,I have adjusted the pricing for the Apache and Williams deals for September forward as we disucussed in the meeting today. D
New computer,Hey! Just checking out the new machine. I sent Cole's birthday present today. Hope he gets it on time. Let me know if you get this message please.
REVISED REVISED SPREADSHEET,Swing deal number has been added for Chevron
REVISED SPREADSHEET,New additions.
"Re: Coastal Ctr# 96008903 Meter 0984179 Sit#135714",I spoke with Savandra Leassear this past Tuesday Sept 24th and let her know that her deal maker needs to contact Brian Riley about the matter.
Weekend Activities,Here is the weekend calls Sat. Dec 23 9:45 am Bruce at PG&E called with some cuts. I called Eddie and informed per his request due to the deep cut at 9g96. 9gd5 was cut from 16495 to 16488. They parked the cut for us. 9g96 was cut from 45000 to 38092. Bruce and Eddie worked out a deal on that. 10:00am Daren Farmer called requesting that we move the miles/Bayer gas from the plants at meters 988056 and 981550 to the Katy tail gate due to wet gas. I called Lee Papayoti and Rick Tiotrowski from Bayer to inform of the move and to get Bayer to nom with Midcon. Called Jackie Young and she was already and her way to the office for other reasons and she Kindly renomed and resent the nom the tailgate for me . THANK YOU JACKIE FOR YOUR KINDNESS. 10:20am Bruce at PG&E called again with some cuts at Channel due to El Paso. 980584 Agua Dulce was cut from (on the channel transport) 21964 to 16884 for a new point total of 50156. Old point total was 45076. Called Gas Control and asked them to call channel's gas control and confirm. Called Sabrae to inform. 3:30 pm Bruce Called again with more cuts 980584 Aqua Dulce as cut again on the channel transport. 16884 was cut to 16275 for a new point total 50765. Called Gas Control and informed of the cuts and asked them to call Channel's Gas Control WHO 34 was cut from 38092 to 37412. They parked 4575 for us. Called Eddie to inform. Sun. Dec 24 9:30am Bruce from PGE called with the cuts. WHO34 was cut from 16495 to 16358 Bruce matched the cut on the receipt 9g96 was cut from 45000 to 41298 the cut was parked 980584 Aqua Dulce was cut from 21964 to 8000 for new point total of 59040.(channel transport) 986040 Riverside was cut from 13964 to 12930 fro a new point total of 38061(channel transport). Gas Control was called on both these meters and informed of the new numbers and asked to call Channels Gas Control to confirm. 10:00am Sam from Gas Control called and informed me that the Bayer plants didn't want to take any gas from HPL due to the water content. The tail gate still had the intraday change in place and so does Midcon apparently so were rolling the move another day. Lee said yesterday that he didn't care were they get the gas. We will true up pops for the tailgate on TUES. 3:30pm Bruce PGE cutl again. 9dwe was cut from 10000 down to 6988 9g96 was cut from 45000 down to the 41298 Bruce parked the gas for us. Mon. Dec. 25 9:30 am Cindy PGE called with the cuts. 9gd5 was cut from 16495 down to 16259 9g96 was cut from 45000 to 43127 980584 Aqua Dulce was cut an the channel transport form 21964 to 11864. New point total was 55176. Called Gas Control and informed them of the new total and asked them to confirm with Channel's gas control. 10:00 pm Again Sam called and said we need to keep Milles/Bayer at the Tail gate due to high water content. So we did. We will need to update pops. 1:00 pm Marilyn from Oasis called with some cuts. A 10000 and a 5000 package was cut going to ANP TA0020. I called Mark and he said t l move the 10000 back haul to HPL which I did. The 5000 Duke gas we moved over to 5896 and will move to back to HPL on our 202 contract. Marilyn said there will be a 1% fuel and a 4 cent change but we could pay the fuel at another time or use it against the imbalance so she confirmed the full 5000. New meter total is 49765. 4:00pm Cindy PGE called with more cuts 96d5 was cut from 16259 to 16100 9g96 was cut from 45000 to 36215. Cindy said that they would not park the gas this time for us. I called Eddie to inform and he said he would call Cindy and dazzle her with his charm and wit and fix the problem. Well that didn't work so we ended up moving it from TECO on the Mid TEX line to 8740 on HPL.
Global Octanes,Finished visiting with counsel ..... we will need to start with the buyback for Global Octanes 9am tomorrow
Rockets Schedule,The schedule is attached. I will remind you a few days in advance to let you know which games you have tickets to. Laura
Re: Tenaska IV 10/00,I don't see anything in Path Manager. Mark is out today. Do you have a new deal number for the purchase?
PRE-BID MEETING,This is a reminder that the PreBid Meeting is tomorrow (10/24) at 3:30 in EB30c1. Laura
Eastrans Nomination change effective 10/20/00,Please decrease deliveries to Eastrans to 0 MMBtu/dy effective 10/20/00 and maintain at 0 until further notified. The redeliveries will be 0 as well. Fuels Cotton Valley gas will be valued per Paragraph 3 of the Contract Price (per MMBtu) section in the Transaction Agreement.
WACOG for Sale to Cannon Winter 2000-01,According to the contract the pricing of the gas we are selling back to Cannon is a WACOG of what we bought it for this summer. Here is the calculation of the WACOG. Let me know if there are any questions/comments. Dave
Eastrans Nomination change effective 10/19/00,Please increase deliveries to Eastrans to 7500 MMBtu/dy effective 10/19/00. The redeliveries will be 7500 MMBtu/dy from Fuels Cotton Valley into HPL.
Memo and Presentation from Brian Redmond,Please see the attached:
Eastrans Nomination change effective 9/14/00,Please decrease deliveries to Eastrans to 0 MMBtu/dy for 9/14/00 and maintain at 0 until otherwise notified. The redeliveries will be 0 as well. Fuels Cotton Valley Gas will be valued per Paragraph 3 of the Contract Price (per MMBTU) section in the Transaction Agreement.
Eastrans Nomination change effective 10/12/00,Please increase deliveries to Eastrans to 7900 MMBtu/dy effectuve 10/12/00. The redeliveries will be 7900 MMBtu/dy from Fuels Cotton Valley into HPL.
Cornhusker,Where are we on the gas agreement for the Cleburne plant?
Re: Duke Cashout Entries 5/00 and 6/00,Thanks. It came through. I should have 7/00 and 8/00 for you tomorrow.
Eastrans Nomination change effective 10/4/00,Please decrease deliveries to Eastrans to 0 MMBtu/dy for 10/4/00. The redeliveries wil be 0 as well.
Re: Shell Meters for October,Shell has made the following adjustment: 1581 = 10M; 1095 = 45. Net volume is still 90M
Eastrans Nomination change effective 9/28/00,Please decrease deliveries to Eastrans to 0 MMBtu/dy for 9/28/00. The redeliveries will be 0 as well.
Cleburne,Cleburne should be it's own desk. Rick Hill should be set up as trader/head of desk. Let me know if you have more questions. Dave
Weather updates,FYI. The research group keeps a web page updated with the latest weather info. D
Eastrans Nomination change effective 9/16/00,Please decrease deliveries to Eastrans to 0 MMBtu/dy for 9/16/00 and maintain at 0 until otherwise notified. The redeliveries will be 0 as well. Fuels Cotton Valley gas will be valued per Paragraph 3 of the Contract Price (per MMBtu) section in the Transaction Agreement.
Re: Meter 6879 - Sept. 00,Thanks.
New Desk in SITARA,Please give me shout if you have any questions (39222) Chao!
Budget Meeting next Monday,There will be a Budget Meeting next Monday in EB3127 at 9:30. Vanessa (for Irena) x36143
Cornhusker for Sept,I was informed by Nancy Stivers at Tenaska that Rich Hill with Enron called Tenaska and requested that they continue to handle the nominations and accounting for Cornhusker through September. Have you heard this?
Inactivations,REMINDER: Records on the August 2000 name change/merger notification report will be inactivated tomorrow afternoon 9/01.
OA Meeting,The 10 am meeting tomorrow will be in Brenda's office on 37. Dave
New Sitara Desk Request,This needs to be available in production by early afternoon. Sorry for the short notice. SRM (x33548)
Organizational Announcement,Please see attached memo:
RE: EEX bid,Jill is not representing the pipeline anymore Brian Riley should be handling this for EEX
Tx Orig - pricing & transportation updates,I've requested Laura to book us a room.
OPM - EA Logistics,Please contact Adrial Boals if you have any questions. X58849
Agency Agreements,Rm. 32c2
Out of Office.,Out of Office.
Out of Office - Vacation,Grandma Chapman's B'day in Tuscaloosa.
CES Changes,Gulf Energy Pipeline Tejas plant from 81 to 52 Trevino Plant from 4890 to 1361 Comiats South from 403 to 28 Gulf Plains From 10939 to 7876 Corpus Christie Virginia From 379 to 165 Midcon Greta Tom Oconner from 2243 to 1392
Devon,I understand you guys want to talk to me about Devon.....hmmmmmmmmm. How about tomorrow Thursday the 8th after 3 sometime? THANKS
CES volumes on Tejas,June volumes on Tejas are attached.
CES - Duke En Field Services,"The purchase and sale is at Felmont #1 (point sale). We will be terminating the agreement. Feb should be the last month."
Re: Tenaska IV 10/00,I don't see anything in Path Manager. Mark is out today. Do you have a new deal number for the purchase?
On Call Notes,Please see attached. Mary
Cornhusker,Where are we on the gas agreement for the Cleburne plant?
Cleburne,Cleburne should be it's own desk. Rick Hill should be set up as trader/head of desk. Let me know if you have more questions. Dave
Cornhusker for Sept,I was informed by Nancy Stivers at Tenaska that Rich Hill with Enron called Tenaska and requested that they continue to handle the nominations and accounting for Cornhusker through September. Have you heard this?
New Sitara Desk Request,This needs to be available in production by early afternoon. Sorry for the short notice. SRM (x33548)
New book,Please create the following books to be used in Sitara and TAGG. Let me know if I forgot any information. Dave
RE: FW: Cornhusker - Lone Star Payments,Antoinette left a message with TXU. Just waiting for an answer. Megan
Name Change/Merger Listing for 7/00,This is the preliminary spreadsheet for July. There will definitely be another listing distributed no later than this Friday. For some reason there has been an unusual number of notices issued and we are working diligently to get the documents lined up. Updates to records in GCP for counterparty name changes: The legal name field will be updated Monday afternoon (7/17). The ERMS Shortnames will be changed on Tuesday afternoon (7/18).
Inactivations,REMINDER: Records on the August 2000 name change/merger notification report will be inactivated tomorrow afternoon 9/01.
On Call Notes,Please see attached. Mary
Cornhusker,Where are we on the gas agreement for the Cleburne plant?
Re: Tenaska IV 10/00,I don't see anything in Path Manager. Mark is out today. Do you have a new deal number for the purchase?
Cleburne,Cleburne should be it's own desk. Rick Hill should be set up as trader/head of desk. Let me know if you have more questions. Dave
Cornhusker for Sept,I was informed by Nancy Stivers at Tenaska that Rich Hill with Enron called Tenaska and requested that they continue to handle the nominations and accounting for Cornhusker through September. Have you heard this?
New Sitara Desk Request,This needs to be available in production by early afternoon. Sorry for the short notice. SRM (x33548)
New book,Please create the following books to be used in Sitara and TAGG. Let me know if I forgot any information. Dave
Our NEW Flight Deals page: Save up to 60%!,[IMAGE] home flights hotels cars vacations cruises deals guides maps business
From the Retiree peanut Gallery,Oh my!!!! How those chickens come home to roost. I hope you are doing OK. Fine here. We must do lunch soon....................... Ken
order VIAGRA online! NO embarrassing doctor visits!,[IMAGE]
No Credit? Bad Credit? NO PROBLEM! Get a Visa or Mastercard!,Click To Apply Today!!!
SPRINT Long Distance Offer! 7 Cents Anytime!,[IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] *Restrictions apply. See site for details. [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE]
Save Thousands of dollars on Legal Advice!,Thousands of Dollars in Legal Services For Only Pennies a Day *IRS *Medical Bills *Divorce *Child Support *Investments *Automobile accidents/violations *Insurance *Credit *Contracts Your 3 times more likely to end up in Court than the Hospital! Legal ADVICE!
First Friends,Did you place Julie Silvera? Also I need the book so I can do it for the next few weeks. Hope you are enjoying your company. See you at church. Jill
Logistics Issues Log,Attached below is the Logistics Issues Log as of 10/19/01.
